174142 

ToM0, ToM1, ToM2
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
10,10,10
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
9,10,11
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,10,12
8,11,11
8,11,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
7,11,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
6,12,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
5,13,12
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
4,12,14
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
4,13,13
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,13,14
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,11,16
3,11,16
3,11,16
3,11,16
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
3,12,15
2,13,15
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
2,14,14
